Family,Subfamily,Tribe,Genus,Species,Subspecies,Accession#,Country,Flag,user-supplied name,valid name
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36927,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36929,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36930,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36931,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas,neora,,06-SRNP-36932,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas ,neora,,05-srnp-60321.04,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas ,neora,,05-srnp-60321.05,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas ,neora,,05-srnp-60321.1,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Brangas ,neora,,05-srnp-60321.6,Costa Rica,Valid Name,,Brangas neora
Lycaenidae,Theclinae,Eumaeini,Calycopis,cecrops,,AV-91-0076,U.S.A.,Valid Name,,Calycopis cecrops
Lycaenidae,Theclinae,Eumaeini,Eumaeus,godartii,,06-SRNP-34145,Costa Rica,Valid Name,,Eumaeus godartii
Lycaenidae,Theclinae,Eumaeini,Eumaeus,godartii,,06-SRNP-34157,Costa Rica,Valid Name,,Eumaeus godartii
Lycaenidae,Theclinae,Eumaeini,Eumaeus,godartii,,06-SRNP-34164,Costa Rica,Valid Name,,Eumaeus godartii
Lycaenidae,Theclinae,Eumaeini,Eumaeus,godartii,,06-SRNP-34168,Costa Rica,Valid Name,,Eumaeus godartii
Lycaenidae,Theclinae,Eumaeini,Eumaeus ,godarti,,05-srnp-33797,Costa Rica,Not Found,,
Lycaenidae,Theclinae,Eumaeini,Eumaeus ,godarti,,05-srnp-33798,Costa Rica,Not Found,,
Lycaenidae,Theclinae,Eumaeini,Eumaeus ,godarti,,05-srnp-33799,Costa Rica,Not Found,,
Lycaenidae,Theclinae,Eumaeini,Evenus,regalis,,07-SRNP-23058,Costa Rica,Valid Name,,Evenus regalis
Lycaenidae,Theclinae,Eumaeini,Evenus,regalis,,07-SRNP-23061,Costa Rica,Valid Name,,Evenus regalis
Lycaenidae,Theclinae,Eumaeini,Panthiades,bitias,,06-SRNP-12644,Costa Rica,Valid Name,,Panthiades bitias
Lycaenidae,Theclinae,Eumaeini,Panthiades,bitias,,06-SRNP-12725,Costa Rica,Valid Name,,Panthiades bitias
Lycaenidae,Theclinae,Eumaeini,Panthiades,bitias,,06-SRNP-16135,Costa Rica,Valid Name,,Panthiades bitias
Lycaenidae,Theclinae,Eumaeini,Panthiades,bitias  ,,08-SRNP-21370,Costa Rica,Valid Name,,Panthiades bitias
Lycaenidae,Theclinae,Eumaeini,Pseudolycaena,damo,,07-SRNP-34311,Costa Rica,Valid Name,,Pseudolycaena damo
Lycaenidae,Theclinae,Eumaeini,Satyrium,favonius,,AV-91-0075,U.S.A.,Valid Name,,Satyrium favonius
Lycaenidae,Theclinae,Eumaeini,Strymon,eurytulus,,AYK-04-0543-11,Chile,Valid Name,,Strymon eurytulus
Lycaenidae,Theclinae,Eumaeini,Strymon,megarus,,06-SRNP-12181,Costa Rica,Valid Name,,Strymon megarus
Lycaenidae,Theclinae,Eumaeini,Strymon,megarus,,06-SRNP-12183,Costa Rica,Valid Name,,Strymon megarus
Lycaenidae,Theclinae,Eumaeini,Strymon,megarus,,06-SRNP-12185,Costa Rica,Valid Name,,Strymon megarus
Lycaenidae,Theclinae,Eumaeini,Strymon,melinus,,SW-07-0008,U.S.A.,Synonym,,Strymon melinus
Lycaenidae,Theclinae,Eumaeini,Symbiopsis,tanais,,07-SRNP-55131,Costa Rica,Valid Name,,Symbiopsis tanais
Lycaenidae,Theclinae,Eumaeini,Theritas,lisus,,07-SRNP-1887,Costa Rica,Valid Name,,Theritas lisus
Lycaenidae,Theclinae,Eumaeini,Theritas,lisus,,07-SRNP-1903,Costa Rica,Valid Name,,Theritas lisus
Lycaenidae,unassigned,,Pseudozizeeria,maha,,SWC-09-5018,Korea,Valid Name,,Pseudozizeeria maha
